Antrenor;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
HAL.YILDIZ;65;7;4;6;10.77;26.15
H.TOP;65;3;6;5;4.62;21.54
M.BALTA;65;5;4;4;7.69;20.0
K.ARDA;64;7;8;6;10.94;32.81
F.ÇELTİK;64;9;11;6;14.06;40.62
N.KAYA;63;6;6;2;9.52;22.22
S.YANMAZ;63;9;4;13;14.29;41.27
S.BAYDAN;63;5;5;5;7.94;23.81
M.ASLAN;63;6;4;8;9.52;28.57
C.AKGÜL;63;16;6;9;25.4;49.21
M.KATI;63;10;3;3;15.87;25.4
S.ÖZTÜRK ERKUŞ;63;7;8;3;11.11;28.57
T.KURT;62;4;5;4;6.45;20.97
M.Ş.KILINÇ;62;6;5;12;9.68;37.1
İ.YAKUT;62;4;2;10;6.45;25.81
Z.YILMAZ;61;6;10;4;9.84;32.79
R.AKDUMAN;61;5;4;5;8.2;22.95
B.BOZBEY;61;6;10;5;9.84;34.43
A.SONĞUR;61;2;8;3;3.28;21.31
Ö.F.TAŞDELEN;60;3;4;6;5.0;21.67
E.TURAN;60;3;3;2;5.0;13.33
H.KARATAŞ;60;7;6;9;11.67;36.67
K.GÜNEŞ;60;2;7;9;3.33;30.0
EK.TURAN;60;5;7;8;8.33;33.33
N.BAKIR;60;12;9;11;20.0;53.33
A.KAPLAN;60;11;4;6;18.33;35.0
H.ÇALIŞKAN;59;1;12;9;1.69;37.29
Ş.GÖKÇE;58;7;6;8;12.07;36.21
Y.YILDIZ;58;13;14;8;22.41;60.34
M.KAYA;58;6;8;8;10.34;37.93
C.AYDOĞAN;58;8;7;7;13.79;37.93
T.AYDIN;57;18;10;3;31.58;54.39
F.BAKIR;57;5;4;2;8.77;19.3
S.GÜNAYDIN;57;6;5;3;10.53;24.56
K.TEKİNALP;57;5;1;7;8.77;22.81
MUR.AKSOY;57;6;3;7;10.53;28.07
ŞÜK.ÇELİK;56;2;4;7;3.57;23.21
M.ACAR;56;3;0;1;5.36;7.14
Z.KAYA;56;3;0;3;5.36;10.71
M.ALAÇAM;55;6;2;5;10.91;23.64
BEK.YILDIRIM;55;0;1;5;0.0;10.91
HÜS.ÇAKMAK;55;3;3;7;5.45;23.64
V.YÜKSEL;55;6;6;4;10.91;29.09
H.DÜLGER;54;4;8;6;7.41;33.33
M.K.ÇİZİK;54;5;10;3;9.26;33.33
S.YARDIMCI;54;5;3;5;9.26;24.07
BÜN.POLAT;54;6;10;6;11.11;40.74
O.ALTUNTAŞ;53;10;4;4;18.87;33.96
M.ÖZYİĞİT;52;5;5;1;9.62;21.15
HAMZA KAYA;52;3;5;4;5.77;23.08
D.ERGİN;51;6;1;9;11.76;31.37
M.ÖZDİL;51;1;5;7;1.96;25.49
H.DEMİR;51;2;2;4;3.92;15.69
M.Y.KILINÇ;51;8;10;6;15.69;47.06
M.ALİ TURAN;51;8;5;2;15.69;29.41
Ö.A.ALAKUŞTEKİN;50;4;6;8;8.0;36.0
M.KARAGÜNEY;50;1;4;3;2.0;16.0
Y.C. KARATOPRAK;50;3;4;4;6.0;22.0
M.ESMER;50;8;10;4;16.0;44.0
O.GİRİŞKİN;50;6;9;6;12.0;42.0
Ü.BOZKURT;50;3;4;1;6.0;16.0
